u,v,t,h
4518,56106,96,0
9988,13454,12,9
42994,82385,57,8
46089,51953,47,7
44767,66662,33,3
46665,64068,46,3
22821,58671,63,1
7183,71882,44,6
1879,59869,58,1
8460,28580,83,9
42645,51177,53,8
35049,48911,81,1
12930,83940,38,6
62009,63535,53,0
39548,72130,10,8
42412,58502,54,4
328,71659,65,0
76825,84048,24,9
35848,82280,12,6
68654,69195,41,2
6268,28634,64,4
37181,73902,28,5
79700,83460,65,9
17641,72039,18,9
64026,74091,35,5
6987,61067,68,3
32051,56168,72,3
56168,77514,76,2
12238,37006,34,6
13842,67447,6,8
26929,71588,40,1
32215,51628,30,3
23990,53245,73,8
12597,77299,89,0
65871,69937,44,1
16216,60980,65,1
13637,19939,59,2
13190,25917,55,1
48035,63738,1,9
73514,78680,40,9
8922,10175,66,1
12353,54688,18,3
6531,40062,87,3
64649,74772,32,0
56338,61473,41,3
26381,43235,77,0
1735,56989,64,4
12054,78031,95,0
21093,32617,47,5
33111,66317,52,1
28686,48135,56,1
35931,64026,53,4
15033,25917,84,1
10133,11828,49,1
12030,81919,88,4
30104,78936,31,2
1920,47884,52,5
13815,69512,16,7
5317,51075,66,4
34209,52719,83,2
13444,23084,72,6
10696,16031,16,6
1940,83426,6,7
12526,67103,9,8
17246,65306,90,3
28251,32215,29,3
62825,77913,18,8
48651,55158,59,3
10778,14790,85,0
32215,82892,30,3
21259,52406,8,9
14873,19947,70,4
64344,71932,34,5
11333,13637,32,5
23821,49289,79,9
18120,44186,5,8
73078,79137,91,5
56667,84407,71,3
44622,62872,51,3
17463,65136,42,4
13370,68920,66,0
32215,73031,26,5
11571,53331,35,8
20276,37462,89,3
23030,62977,91,4
18774,19515,84,3
19276,20400,49,8
24494,49796,58,5
30132,30177,92,5
52406,64068,60,7
32215,62934,28,4
32215,38489,28,5
14147,80195,6,7
5944,65306,88,3
5944,33296,2,7
5692,36402,58,5
15875,36627,89,0
32215,50114,18,5
42326,60949,94,3
68462,80126,91,3
29352,69209,80,5
26468,69209,73,0
9479,36860,2,9
66507,83022,7,9
24360,69571,24,5
67473,73981,68,5
13815,16464,10,7
26751,80336,61,5
15357,71588,80,4
10212,80443,66,4
8247,27321,34,6
1166,66289,44,6
9464,17388,27,6
6291,32421,8,9
5384,34799,48,2
7531,51269,8,8
25118,36860,33,9
61936,72922,72,4
73360,76017,77,0
20663,63452,29,3
25924,29507,52,2
29309,83552,43,6
117,13370,8,8
7153,17235,95,0
11127,54862,27,8
45540,83893,52,1
10778,66524,48,2
23047,36517,51,8
33115,82017,85,7
24570,47819,51,1
70286,72077,21,6
70195,74523,95,4
43088,49895,32,5
42703,54990,94,0
7183,35540,35,6
17883,63785,34,9
23105,41166,78,0
10749,76576,66,3
26913,37268,38,6
26901,34777,32,5
49218,74298,39,9
7300,53146,7,8
2889,67911,97,5
59251,79114,26,8
35057,73171,5,7
48270,75134,82,1
64740,80436,20,9
27207,31691,92,3
39331,62705,74,0
12142,82280,75,4
30640,53155,70,2
12354,23418,23,6
56773,57544,16,6
44767,64622,79,0
13842,43290,32,4
22669,37407,85,3
11695,56523,31,6
27027,56523,39,3
22806,25917,84,3
11342,67291,19,8
19413,49347,74,2
52394,63738,40,2
49509,83300,87,7
32564,56924,41,5
53697,71478,60,5
2680,54498,87,2
57237,58578,37,5
68087,84480,30,6
32564,61933,37,2
8432,59869,75,6
37685,78756,36,6
53423,56924,68,5
26700,48808,53,4
30883,71914,53,7
2913,42063,91,5
5931,10195,76,3
43241,77951,95,9
33007,60505,58,6
8516,56033,58,4
32564,58008,56,2
16399,78440,9,8
28738,45979,19,5
63089,69500,92,3
25731,63571,56,2
42467,43168,48,4
23343,36727,49,1
12353,40021,18,3
22716,73201,10,8
4443,45553,70,0
2148,5661,93,9
11667,63081,35,4
22376,34979,25,9
5540,57722,51,3
10935,73361,84,6
29697,61962,52,6
37343,57487,24,1
22602,37181,8,8
13815,84701,92,0
39112,68154,70,1
22377,55055,23,1
17414,84020,75,2
35091,64449,50,5
16474,26770,60,1
50903,51187,49,5
15908,21093,56,0
38966,48854,74,0
32215,69140,15,5
46142,53300,88,5
4985,19668,10,9
12713,18329,79,4
47772,56859,63,6
53709,64759,8,3
16252,84641,38,7
20235,68164,74,7
66032,74959,16,7
48287,72661,1,9
14718,23925,53,8
3422,7394,33,8
32215,62574,40,1
20875,32215,21,3
14430,73021,34,5
32051,75257,47,2
589,3000,17,5
6430,15994,89,8
8229,42058,94,1
75598,78960,55,1
16079,44651,89,1
15049,40625,92,0
61312,78414,95,4
39954,41651,48,4
13935,32735,9,7
54467,55158,9,8
34479,57494,53,4
21185,78936,78,5
56806,65425,93,2
16089,62934,24,8
14544,42454,5,9
8124,76165,13,7
24644,50915,41,5
4033,22842,24,6
23996,32215,28,2
32215,36502,23,6
40,32215,30,5
32215,47602,32,1
32215,71957,26,4
2245,32215,21,6
32215,42645,56,2
32215,42332,32,2
8194,22266,54,9
7997,42541,44,3
7997,47461,85,3
8334,63602,65,0
25597,64093,42,2
2541,26913,41,5
5179,77978,49,2
35427,79796,67,7
66317,70752,74,5
20513,66180,89,0
47797,52097,65,0
25891,36611,41,3
11396,64130,25,5
34867,84011,56,1
25808,30157,39,3
35243,57665,68,1
42997,69135,82,6
54194,80244,98,3
8162,64028,47,2
4713,62825,16,9
11333,32564,45,5
117,62825,34,6
24486,42332,52,1
244,22526,42,7
13190,34363,88,1
34363,60666,98,0
37546,68855,83,3
24802,46368,77,0
22754,62238,92,6
32748,64068,83,2
43068,84038,26,3
46850,55158,6,9
46850,59251,24,5
31409,59451,12,8
74465,81817,47,1
53207,58503,85,6
18927,34158,99,0
20513,36727,34,3
50167,84022,88,3
27883,57009,67,1
75161,75707,75,2
26795,84435,53,7
10352,41458,19,2
37693,66770,40,8
64759,77415,8,2
32505,84488,4,9
15220,31653,20,7
24607,33115,79,2
7183,82128,71,7
29393,37181,5,9
62818,72946,22,5
21143,26148,53,3
5317,47576,57,6
5055,38694,2,9
66636,66988,53,1
41489,78031,77,5
66173,74973,75,3
24494,44651,24,6
18907,24494,31,6
12393,13815,39,8
4323,55706,41,3
8244,76944,60,6
39337,56033,51,2
71986,81160,15,8
8432,41942,76,2
52729,59282,19,3
23611,42167,71,9
17648,37446,32,4
13933,80849,36,3
22141,52166,33,1
2265,45703,76,7
1308,81801,66,9
12597,81315,89,4
52477,66317,26,2
4831,33317,53,3
10551,82288,72,5
5103,69818,65,6
46933,62263,91,0
31974,59010,73,1
16141,67339,45,7
1570,8133,99,0
10133,48171,28,4
23098,81115,22,5
73848,77153,27,5
4859,43235,9,8
9479,19413,74,0
5931,15836,65,1
40321,77377,76,3
22182,62298,35,3
1305,2906,2,9
27700,32130,79,0
27808,60551,97,0
46715,67911,11,7
48169,83893,80,5
76784,76944,74,2
11020,74072,7,7
14833,43537,28,2
22210,53957,67,5
7348,25034,63,7
3144,58087,60,4
51791,78838,7,9
15757,19296,51,1
8182,72690,71,0
14472,84682,76,6
15275,61631,90,0
64752,83217,61,6
21133,38156,72,1
52143,55478,49,5
41651,49955,59,2
8211,25747,38,4
413,53433,78,0
29124,78311,10,7
18575,31108,79,7
26699,64819,67,4
37506,65968,42,7
42645,73635,60,9
23625,47182,92,0
16267,17641,11,8
60296,81091,4,8
7570,16422,97,5
24360,83217,99,0
33140,79915,96,2
61143,84113,56,3
73766,75579,69,6
16700,62306,40,4
42326,77777,7,9
25,83353,18,7
4033,67614,40,3
22575,67161,10,5
20165,61773,96,0
16346,20498,61,2
48170,51608,39,4
23926,38797,16,7
7925,53245,80,2
10552,35848,1,8
15900,59748,48,2
5944,26124,35,5
18927,61857,11,8
28970,47323,62,4
7311,8182,67,1
7558,40600,4,7
10975,29820,80,6
22210,22996,61,4
7354,68168,25,4
11333,83417,70,3
38797,64353,37,6
10387,64353,6,9
64373,77687,37,0
13262,15287,90,5
1096,56101,14,8
7528,24935,64,3
21259,69162,91,9
11569,60152,53,9
17748,59414,31,3
53517,62493,8,8
22161,39700,58,2
20688,64759,8,4
10712,81744,19,7
4494,49673,72,6
10546,25022,96,1
6343,60899,54,8
20513,70863,9,8
13444,32494,63,6
42005,46357,96,0
38400,50086,15,8
19931,47772,12,8
11112,15354,25,5
61970,70461,89,0
18927,78568,92,3
14596,83417,27,4
31318,67272,51,0
55158,82128,9,8
26793,29289,84,2
49829,78876,50,1
30171,44615,93,6
69367,80577,29,4
25266,27903,91,0
19629,22444,42,1
11804,81946,24,2
9277,12900,69,1
56859,73053,12,8
1737,27892,94,0
7044,38759,41,7
48911,64344,81,0
43814,73053,73,8
18649,28213,22,4
46473,52126,19,4
72039,73360,80,1
24624,59130,72,2
30189,83831,4,9
38894,68697,53,1
22141,60414,38,4
6971,51628,79,1
4098,64068,32,6
18927,42968,99,0
48210,70405,59,9
18772,37205,56,2
51061,72606,79,4
26608,32343,93,9
40236,51177,33,5
245,46730,98,0
17310,28686,62,1
46665,49064,44,3
46715,76576,67,4
12491,51548,51,7
26878,65903,78,3
50031,63720,42,4
9989,14214,81,5
27700,44297,91,3
14214,51158,49,1
66990,67843,78,5
7044,46665,80,1
43814,69954,88,8
7835,8124,51,5
15275,55602,37,3
6845,80941,7,5
5180,63705,91,7
75009,75105,26,3
22459,55177,46,2
7183,57087,26,5
13902,18120,35,3
18120,63796,65,6
28318,57171,78,7
27067,60551,97,4
4905,66159,21,5
36009,51953,58,3
11969,46665,36,7
11667,27649,52,6
3805,52886,84,7
5201,56338,40,5
70518,79646,34,9
26054,52391,44,7
17261,52667,44,2
26229,32641,76,9
26229,35384,76,8
44110,78640,73,1
4885,51187,36,2
19625,62752,84,0
19739,32215,30,2
3027,13190,88,0
27649,34363,66,5
30986,74298,72,1
8272,69954,26,5
49826,66204,94,0
40996,51015,51,2
15653,64759,8,2
17597,27739,47,1
35865,36689,96,0
65632,82569,45,0
27700,48074,28,9
38682,79126,60,0
34025,51634,1,9
32215,64245,15,7
71046,76681,99,6
24574,64759,8,5
46805,73509,78,2
5944,51603,31,2
245,33377,82,5
51015,73830,10,8
32816,70067,53,2
53529,83068,36,7
623,30970,45,6
39371,68353,22,4
13933,18274,80,2
4531,62417,22,8
191,65430,19,8
7082,73848,99,3
70732,71893,29,3
31747,48270,79,1
48270,82892,51,6
68730,69693,59,4
14939,73853,23,6
62751,66780,3,9
62216,64068,60,8
22842,62216,49,5
7442,10460,37,0
28575,43060,38,5
31196,46304,96,0
77906,81797,8,8
12597,76342,43,9
57327,81926,27,6
72,40048,36,3
11333,31389,34,6
24570,63616,20,5
14629,43097,72,1
51939,73414,97,0
56419,68727,60,3
11582,56101,20,7
18075,28902,80,3
22377,69109,48,0
62978,73848,35,4
41200,44135,24,5
4098,4868,53,3
6270,42656,93,7
18444,26479,84,0
2452,32215,14,7
42414,60838,36,7
6872,38529,85,0
64568,71226,20,6
1663,42194,14,7
38926,61740,67,3
32215,66988,30,2
32288,76576,72,8
49544,83369,90,8
32215,77235,17,4
37134,71864,35,1
10288,14612,6,7
32074,44297,13,8
19520,33657,76,7
7792,59054,67,0
26452,71317,90,0
17460,56972,4,9
23085,44323,83,0
17770,41869,59,4
2570,36517,16,8
9988,22459,57,3
32788,84132,83,0
10610,17414,69,9
21908,36958,10,7
15501,21105,93,4
47389,57015,92,8
16089,55296,70,8
17955,71306,68,2
45890,66780,4,9
11982,77953,56,2
19202,75257,61,0
54782,79060,62,7
52620,72860,92,7
65974,83217,85,6
29135,83217,97,0
11458,48326,3,9
6756,30986,74,4
13637,72302,32,6
464,18329,71,6
4495,49238,5,7
42795,60296,1,5
71823,75262,86,2
27723,36139,1,9
2751,65672,15,6
4885,18774,33,6
30268,65982,85,2
18789,83984,64,8
36797,41437,94,0
14827,21566,59,2
64468,68727,33,6
48911,55459,76,2
68727,73886,4,9
11554,29993,97,4
36347,76784,64,3
41942,47181,76,9
46271,57359,17,6
12497,40955,68,0
24010,48568,79,7
6343,83617,49,2
10712,32215,30,2
19911,20513,85,2
26793,53730,44,1
32695,41993,7,8
2431,75963,72,1
35599,69931,85,2
11743,29729,88,0
49063,56083,3,8
29417,48362,28,2
11742,37708,72,1
13001,74491,29,6
2970,9203,19,7
21522,83552,11,8
5879,60551,95,0
13573,36517,71,3
19092,49462,82,0
26770,83423,13,6
29965,34319,93,1
5319,42541,4,8
15082,18575,79,3
4634,23529,19,8
29393,68727,83,9
37373,38274,90,0
19073,58622,91,2
62875,80562,94,1
40745,46895,34,4
44479,78707,7,7
41869,60505,76,2
32215,79569,15,5
5201,45756,31,2
29634,55504,96,0
7997,69097,56,7
32564,66988,35,3
10989,29408,86,8
39723,82765,94,5
35174,72003,56,8
27145,55945,93,0
16043,53940,48,5
27565,42462,90,1
61605,76284,51,2
32505,55702,90,0
49871,73310,42,1
23564,69948,32,8
20455,53211,89,6
17928,32215,16,7
8320,59481,88,5
32215,70603,30,5
52112,69386,43,4
20804,45537,13,8
50516,53968,11,8
11676,73552,46,8
66990,79619,76,9
7177,83353,54,7
19293,37006,4,9
12696,34457,37,3
30986,56101,3,9
33681,78594,85,1
62983,79409,87,4
18484,34280,49,5
17641,45537,13,8
28522,42510,28,8
21980,80094,28,6
48169,66048,47,0
71932,79646,1,9
43646,46101,21,6
20513,80305,24,5
24047,26715,79,2
25464,43530,93,5
77451,79447,27,4
25601,67320,95,5
51177,57115,5,8
11335,32215,23,5
30611,43417,66,9
5055,60676,68,5
29708,32215,19,6
44864,50903,44,7
4531,71932,7,9
14561,47281,2,9
2361,43455,40,3
19879,62173,49,4
37892,40258,98,0
11969,19699,25,9
62705,80062,69,0
63366,73514,1,9
7835,69691,74,6
33681,51765,94,6
23218,54974,58,8
1884,21911,29,2
9164,77810,94,2
69512,72635,58,6
10620,65430,25,9
42645,84723,46,6
23084,60899,33,9
33681,69512,81,5
16155,32215,20,3
8538,35091,4,8
16595,54175,65,5
77914,78208,95,2
3469,58016,23,4
20958,57281,10,8
32215,80482,27,4
1021,33111,51,6
29417,37685,29,7
6461,68947,99,0
14238,26147,93,2
11569,55177,33,7
5998,34750,48,1
5947,62329,62,1
18927,40800,33,3
7175,52406,61,9
32051,42326,66,4
17208,28598,51,2
45811,61312,84,2
7092,43814,53,4
10880,20901,59,4
31108,51187,62,7
18774,44800,39,7
26555,49020,35,7
24714,75149,47,6
80061,81047,24,7
8252,22602,43,6
49720,75940,26,5
11333,44446,8,9
11333,71810,18,8
9959,62967,80,8
4985,26381,9,9
61182,64850,1,9
7736,43189,77,7
42098,66114,92,0
42465,59997,41,2
19306,73514,16,8
23611,47960,42,2
55296,81744,24,8
15443,18184,4,9
73360,76576,20,6
29457,67323,97,0
7082,23533,60,4
28251,64277,57,1
59636,72055,94,2
32215,71498,21,3
17531,42351,70,4
14718,36139,30,4
34956,53059,93,0
22602,43814,51,5
20541,67404,16,7
35458,59331,3,9
328,56667,56,2
55808,77882,42,5
1208,13169,54,1
52259,66937,20,0
19825,49871,62,7
46897,78876,48,9
8554,41166,78,1
61448,62298,95,3
245,82300,81,1
42462,44532,33,1
6801,40192,22,5
9204,40479,39,5
20359,49551,10,8
18803,27691,17,5
16251,72635,64,3
22141,26751,38,3
3267,63516,92,0
68435,83918,20,6
13717,32421,60,8
4963,82373,37,4
12323,84241,16,8
77152,81498,31,3
29006,53423,94,0
75149,77906,63,4
5851,26913,19,7
8162,77377,67,0
22326,69801,17,9
4292,11578,26,5
16108,82910,3,7
16537,67854,50,3
49673,72130,12,7
14707,26757,21,6
20760,51654,35,1
15592,50889,6,8
19391,73158,74,2
23926,73080,75,2
13444,20543,66,9
9799,41166,78,0
42978,45911,20,5
9854,58599,88,5
3850,16346,70,1
49233,75161,59,6
11578,61143,29,4
11578,69209,76,4
28055,67447,58,7
58335,66988,48,2
8244,71478,10,8
32736,34504,74,1
47974,56910,9,6
32641,61748,63,6
34089,55158,59,5
51612,63593,8,8
32051,77514,76,3
31179,46365,23,9
32215,63263,17,5
25750,45290,29,6
37685,69367,53,3
4525,12309,95,9
35341,44800,84,1
32021,82758,58,0
58338,84547,3,8
78711,82577,1,9
57289,58677,44,3
23218,46384,71,7
6658,71407,37,3
19675,35522,18,8
7581,22761,4,9
19276,42012,49,8
4634,19276,49,8
31899,47223,40,4
2452,47788,47,5
36662,78691,82,0
2134,45897,91,0
33657,61857,9,8
13190,70671,88,1
12986,30428,3,8
34285,66173,76,6
32215,34285,20,7
14104,19419,26,7
66524,74091,8,7
4943,47788,47,8
32215,41026,16,4
18923,48911,10,8
26048,64759,8,3
12651,33257,81,9
32130,65819,49,1
40021,82901,99,0
58578,67712,70,3
31813,58578,34,2
9489,18552,96,6
30246,61760,87,4
5149,15264,65,1
27767,72094,85,9
28634,36958,71,5
30986,76546,56,2
24494,71882,13,8
48135,54194,94,3
1282,58063,16,3
37008,63959,36,5
15115,20400,44,5
65472,81946,39,9
29986,75080,3,8
3564,31195,5,9
242,13751,27,5
32215,66971,18,6
32204,63250,44,2
8777,77825,37,3
21133,64068,81,4
12402,55110,20,5
32429,55025,19,7
50005,81871,99,0
43290,46665,48,5
52886,56033,35,7
28205,79480,10,6
4323,73976,41,6
73466,80816,43,2
69571,80816,35,2
43455,44249,78,4
1327,16253,37,3
11341,48607,97,2
8516,50317,24,5
9959,73848,56,2
37666,42485,64,5
35693,57638,97,0
38073,75487,33,4
65485,71914,58,4
9277,10989,93,5
23821,69873,19,7
34965,51420,97,2
71484,72656,74,3
13933,65407,16,6
32215,53973,30,3
32215,52017,17,5
32215,52537,28,3
32215,50394,21,3
32215,37373,11,5
11112,79278,3,9
4885,69367,55,8
22377,52722,90,0
21539,24182,78,4
35448,46715,26,4
191,27987,33,4
1663,40746,3,9
37406,70227,91,0
71478,84061,46,5
32074,83774,93,3
10610,30986,54,4
47673,50138,8,8
21860,38126,74,0
57062,72548,84,7
34462,47425,31,2
60200,63074,55,3
36441,39650,38,6
74434,81160,15,6
38257,63865,48,7
54451,69358,81,0
54467,63959,31,5
17949,52780,11,9
1149,39112,79,1
16089,72721,35,5
20537,67404,51,7
51502,53954,70,6
40192,57289,10,8
19173,48244,10,8
66990,74973,59,4
55616,69197,63,5
33377,76813,79,4
63959,83552,12,8
33007,69413,39,6
22842,70677,45,7
22842,79278,60,1
8516,43290,28,5
6495,83915,17,6
18075,64560,19,8
66204,72330,52,2
19699,27611,19,8
26468,27923,63,9
19611,84358,4,8
60195,83156,85,1
31685,38200,22,6
30346,41793,52,5
2441,18411,54,5
9466,49064,8,9
29244,75714,7,9
19272,65795,88,0
36799,74958,58,2
33733,41747,96,0
13298,57812,89,0
10371,13817,25,6
2467,71407,60,2
7925,68727,84,7
67700,83156,50,5
33572,81115,38,5
64719,83552,12,8
8407,30422,7,8
13327,26878,37,5
4292,68462,88,1
33572,71986,96,2
58063,83202,59,0
14472,71327,91,0
623,50993,10,7
56033,69691,48,6
18774,61143,50,7
13815,78551,11,7
4098,71565,32,4
5317,83080,13,9
51145,81310,44,2
35479,81310,63,1
60182,66816,73,2
62811,76177,97,4
12261,25384,49,1
60786,75828,94,0
14450,23490,63,1
7143,68700,11,5
40800,61209,74,2
20330,77504,97,0
1871,57115,42,8
2889,16346,68,3
14561,81050,79,1
81139,84721,84,1
25118,57171,45,4
35756,81672,24,7
26593,67162,88,0
51290,70100,22,1
32564,67032,49,7
19680,69413,31,5
13800,83952,37,2
10885,30268,78,3
60551,73102,97,0
2072,78758,12,5
8124,59869,52,1
39751,65772,8,5
26468,69542,80,4
26468,69264,72,8
34363,40867,29,5
72,32215,23,3
54379,55674,81,2
45537,63785,75,4
49064,73514,27,6
5814,36698,15,7
26229,47436,83,1
49099,82319,89,9
9986,45540,57,3
55588,63496,96,0
18152,51171,12,4
67591,75981,13,6
37708,76165,57,6
32215,65720,19,7
12713,32051,82,7
5612,32215,13,7
11578,21522,44,3
5608,22266,25,9
28392,64819,39,1
30171,83203,8,9
21725,48270,94,9
20901,34989,87,0
20901,31941,87,0
37474,46805,85,3
2570,19276,27,7
3946,68654,7,8
3115,17414,41,5
4634,25917,7,9
25722,67069,71,0
30132,49238,92,1
13815,43363,8,9
4538,18821,35,9
13257,37663,91,1
5222,12385,82,7
9277,51984,61,3
9277,35091,56,4
74594,74698,14,7
54990,80228,87,3
40752,51977,98,0
4784,70925,22,6
12325,64312,92,7
62934,69801,59,9
47449,50552,94,5
16680,67473,74,3
7792,77451,67,0
4180,15090,96,3
26751,59449,45,7
5119,63571,42,3
31918,64759,8,4
1141,47396,43,2
56592,71608,99,8
3070,67454,6,8
30497,67426,90,0
62801,71923,66,4
65974,66873,67,5
17414,54782,85,5
65016,67161,44,3
18791,36895,59,7
72302,78680,32,9
60106,80919,60,7
26148,72606,79,1
13414,16991,1,8
32215,78973,29,3
4098,6756,25,5
26108,64026,43,3
41781,60200,45,1
21143,56387,62,5
58471,66032,8,8
58474,64649,70,0
26878,69209,37,3
34650,65315,44,2
29137,45246,89,1
10367,80186,6,9
52633,63403,43,1
27700,42965,79,1
1308,50388,60,3
44323,73359,28,3
43976,80941,7,5
11396,59806,72,6
29829,54348,5,5
20830,21008,67,2
29980,71700,48,2
22232,64463,72,5
57354,66115,48,5
7998,82764,80,4
23457,31650,95,0
36799,56419,58,3
8924,21143,38,4
66990,69512,31,5
50611,69597,47,2
39877,76784,38,5
15220,32215,20,5
7727,83361,7,7
13499,22377,89,2
26381,38797,7,8
3226,38120,36,7
5830,14596,27,4
1091,19078,78,2
67120,79409,18,7
39954,54515,68,3
44657,69693,56,5
42167,60653,89,4
62818,79454,7,7
37373,66560,74,5
49140,71991,62,0
15022,51155,15,6
13617,62730,62,6
47548,63403,72,3
39629,66990,59,1
19699,71882,29,7
7858,51781,62,1
50552,81297,93,3
22405,81083,91,0
63340,74627,17,4
23098,65871,41,6
29417,57405,13,6
49490,71233,27,8
5601,24047,83,5
25264,76223,86,0
7175,44950,83,3
64674,68532,82,2
41793,50441,89,2
68730,84712,77,2
43934,73201,48,6
8415,40696,86,4
40946,49427,87,0
67700,79009,10,6
55610,63785,74,7
60102,83552,13,8
9701,78809,25,5
9327,72721,15,7
1458,10429,54,0
15072,70569,2,8
5643,18364,65,1
4098,64389,61,1
20158,75707,84,4
36577,70752,12,4
34457,54194,42,5
57087,79501,97,4
16108,33510,14,7
28251,48754,6,9
32748,73002,31,5
2555,83101,62,5
36830,79131,50,5
27611,64130,26,5
45500,74471,44,2
73361,75262,17,6
10102,34750,49,3
39337,69021,41,4
20400,84623,71,3
7705,11424,75,2
50317,64560,34,5
2493,17914,14,5
36167,74462,16,8
11966,39518,55,4
5069,55296,99,8
32215,66115,30,4
77893,80849,25,5
13577,43415,76,4
53954,80094,70,5
63911,76859,19,8
4494,75576,58,3
7998,58471,70,6
34363,44446,90,5
14403,21917,91,8
1871,81895,21,7
31974,38257,79,7
872,72798,46,7
52979,78450,25,5
29352,43235,79,4
29289,65077,38,7
34899,55062,86,7
64449,74360,39,8
19492,54974,81,7
16108,76944,35,2
28687,57118,97,0
20285,39126,68,4
15378,79259,89,1
14624,83041,27,5
14867,30970,31,2
24170,60967,81,2
17388,32215,23,5
67230,76234,25,3
16043,71659,44,5
60131,60987,39,1
56266,59531,51,3
19173,60712,70,8
76894,79114,31,6
11333,19202,54,1
38468,51289,67,0
28580,29965,35,4
35048,42560,41,2
12371,26562,73,7
22326,22842,25,6
13444,29955,1,9
8899,46150,25,3
35540,83648,12,8
35617,39126,68,9
44438,61880,5,7
58020,62360,90,0
51781,69403,12,7
32215,81247,29,3
57129,81672,23,7
29137,49062,41,3
20335,21993,29,5
5028,12608,40,4
20242,62752,62,5
40899,57286,96,0
46048,69849,56,1
32215,53791,29,5
25,26770,26,6
23917,49673,46,6
49964,68689,37,7
37006,84148,35,5
20328,77906,72,1
16537,61843,70,0
33555,58016,62,6
25330,57171,65,2
32215,79278,19,4
1510,78707,14,6
12290,26214,49,8
33097,52097,68,3
16595,67298,18,6
32288,58008,67,5
26330,55887,65,1
14173,28204,21,3
42249,82373,19,6
13815,69983,3,8
3805,39905,64,4
62110,76125,11,9
46789,53940,50,9
32343,73766,23,6
31974,52406,74,4
5998,66198,4,8
37074,42427,34,9
6791,62574,34,2
7789,25384,56,1
4885,22459,31,3
42677,76186,98,3
10778,48911,71,9
10493,63255,4,7
9988,68730,54,4
17320,31195,83,5
28575,50031,34,5
12887,32617,93,0
7465,41302,68,3
23068,33956,63,5
19363,83828,6,4
7317,48132,94,0
49483,80849,65,8
13190,67223,4,8
22754,34363,1,9
24446,78344,19,5
36419,59806,33,4
60063,60414,99,6
5251,6268,64,7
20875,49226,56,0
5550,77512,18,7
32717,82910,25,7
34550,67795,8,7
40068,53155,15,7
26330,26878,86,1
38258,68339,80,5
68339,77512,12,8
30180,36689,36,4
20158,62353,46,6
48067,54237,89,3
26699,48911,76,8
18690,47716,51,1
38926,80950,66,0
9988,65974,26,6
20062,50090,62,5
15429,28721,54,3
11483,72051,34,2
23835,67700,70,7
14851,15623,85,6
80953,84584,13,8
28686,36517,47,6
14718,84409,30,4
47439,74093,66,3
12678,55516,49,3
32215,76553,20,6
3381,13169,28,4
22624,31652,9,6
79501,81483,63,5
23529,83552,3,9
11515,47926,55,7
55694,81881,72,6
1717,18774,52,2
19699,61962,49,7
17770,37892,35,4
31008,69812,92,0
62825,82371,10,9
4853,44479,88,4
32215,34158,23,3
8141,32215,27,4
32215,45979,31,1
30901,32215,41,2
32215,62791,17,5
40,28951,98,3
1327,36727,82,1
41212,78196,93,0
45377,67362,86,1
6588,82054,59,0
50820,69133,55,3
30191,76415,49,4
56813,57130,64,9
19939,27321,70,3
16089,67447,67,4
33377,57087,82,4
10133,46635,67,2
19766,80944,81,3
8460,14804,27,5
26793,75883,89,1
36517,49957,5,9
65018,69512,80,5
15391,69601,69,2
26054,44186,35,4
30970,60051,20,5
54688,67781,26,3
47926,50138,1,9
16070,47772,31,9
48279,48922,44,4
37165,82269,39,6
22821,64894,64,1
68751,69232,73,2
7119,42645,39,5
73635,78973,46,9
27992,43606,2,8
51177,80482,64,4
35091,57722,73,3
22326,62177,97,4
15028,37336,86,3
56598,59130,92,0
16103,54990,29,4
30788,36521,10,5
9959,54986,35,9
589,75262,12,9
53464,56831,44,5
31421,69209,76,5
7290,27987,39,2
2906,26229,43,4
27291,36716,22,6
12900,36716,69,1
7183,39998,28,7
50019,54467,11,8
19088,33257,81,6
50503,68654,75,5
18439,20240,41,4
14490,49796,1,9
35507,76465,25,4
13074,65407,16,7
19296,52037,31,3
19625,35952,81,8
9986,56941,13,7
7386,54062,16,7
23698,27046,3,3
3781,83167,3,9
8933,63074,22,7
39084,47589,99,3
1893,50167,74,1
25917,65871,85,9
11571,52037,42,2
10809,52929,48,4
26412,76986,72,0
11146,42645,43,9
18759,67614,21,5
67441,74091,70,1
8086,52826,4,9
4098,43530,45,6
18787,22377,49,0
50317,77233,66,7
50317,64925,24,6
33115,64674,55,3
28156,29965,93,6
990,47165,52,3
4610,24360,35,9
11020,31175,13,6
24468,58186,1,9
23204,64457,65,4
56769,75487,30,1
6791,38274,37,4
610,4494,72,3
60125,74973,59,0
12497,24494,8,9
9749,20014,59,8
7263,64028,68,0
11020,84558,84,1
27772,68171,94,0
56766,72084,96,0
2292,83022,79,3
33964,48688,22,4
50167,83361,82,2
4656,30777,93,3
13516,35174,33,8
6643,42427,45,8
20435,47576,64,2
5370,33792,51,8
17949,33510,66,0
22377,44152,68,0
1764,13842,5,9
56216,80949,77,6
51374,78680,56,9
1114,51765,73,6
68643,68652,20,6
23129,38544,11,8
34956,56106,31,7
13933,49233,73,3
52437,70518,57,8
35341,83417,51,5
34319,37393,96,3
19064,71134,47,4
50408,62509,7,8
7392,8194,64,4
31447,72798,63,5
7609,82018,78,0
52015,55891,95,4
13842,77512,30,4
24407,40608,13,6
